,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
271,Camacha,33.0833,-16.3333,71.6,73,40,11.5,PT,1619113916
272,Sinjai,-5.1241,120.253,73.51,88,94,4.03,ID,1619113916
273,Archena,38.1163,-1.3004,64.4,72,40,4.61,ES,1619113916
274,Tarbagatay,51.4803,107.3602,28.4,54,75,4.47,RU,1619113917
275,Alta,69.9689,23.2717,35.6,55,0,6.91,NO,1619113917
276,Oeiras do Pará,-2.0031,-49.8544,78.73,93,79,6.33,BR,1619113917
277,Kamenka,51.3223,42.7678,51.01,72,90,4.63,RU,1619113917
278,Port-Gentil,-0.7193,8.7815,79.21,81,98,13.89,GA,1619113918
279,Sinazongwe,-17.2614,27.4618,72.93,63,5,4.5,ZM,1619113918
280,Manggar,-2.8833,108.2667,81.14,73,66,6.55,ID,1619113918
281,Pisco,-13.7,-76.2167,66.2,88,75,10.36,PE,1619113919
282,Wajir,1.7471,40.0573,84.2,65,75,9.22,KE,1619113919
283,Sobolevo,54.4299,31.8996,47.14,85,60,8.19,RU,1619113919
284,Sovetskiy,61.3614,63.5842,47.68,58,99,7.67,RU,1619113919
285,Lerwick,60.1545,-1.1494,46.4,66,40,10.36,GB,1619113920
286,Gigmoto,13.7796,124.39,78.49,89,93,6.62,PH,1619113920
287,Maceió,-9.6658,-35.7353,87.8,66,40,11.5,BR,1619113792
288,Matiri,-10.75,34.9,59.16,91,50,3.78,TZ,1619113920
289,Morón,-34.6534,-58.6198,78.01,57,0,10.36,AR,1619113872
290,Key Largo,25.0865,-80.4473,82.0,79,10,7.63,US,1619113921
291,Leningradskiy,69.3833,178.4167,25.03,69,91,4.63,RU,1619113921
292,Sungai Penuh,-2.0833,101.3833,64.9,97,100,1.21,ID,1619113921
293,Mahibadhoo,3.7833,72.9667,82.78,75,41,11.86,MV,1619113922
294,Qaanaaq,77.484,-69.3632,23.11,80,100,7.81,GL,1619113922
295,Lata,40.1629,-8.3327,66.99,67,20,5.75,PT,1619113922
296,Nhlangano,-27.1167,31.2,57.09,89,43,1.28,SZ,1619113922
297,Dingle,10.9995,122.6711,77.43,86,49,6.22,PH,1619113923
298,Mwinilunga,-11.7358,24.4293,67.28,75,100,3.87,ZM,1619113923
299,Genhe,50.7833,121.5167,33.98,70,60,9.75,CN,1619113923
300,Ontario,34.0633,-117.6509,60.01,82,90,4.61,US,1619113924
301,Kashan,33.9831,51.4364,81.93,23,75,11.1,IR,1619113924
302,Pierre,44.3683,-100.351,55.0,35,90,20.71,US,1619113740
303,Los Arabos,22.7281,-80.7214,95.34,30,24,11.21,CU,1619113924
304,Chumikan,54.7183,135.315,30.11,96,100,2.51,RU,1619113925
305,Luwuk,-0.9516,122.7875,76.91,87,95,4.63,ID,1619113925
306,Sarangani,5.4033,125.4636,82.76,76,6,15.97,PH,1619113925
307,Bandarbeyla,9.4942,50.8122,83.77,74,32,9.75,SO,1619113912
308,Sarakhs,36.5449,61.1577,71.6,14,0,11.5,IR,1619113925
309,Channel-Port aux Basques,47.5702,-59.1367,41.47,97,100,30.18,CA,1619113926
310,Ulladulla,-35.35,150.4667,53.6,54,0,12.66,AU,1619113926
311,Vardø,70.3705,31.1107,33.8,93,75,18.41,NO,1619113926
312,Guajará,-2.9667,-57.6667,85.95,72,80,2.35,BR,1619113926
313,Alta Floresta,-9.8756,-56.0861,89.6,55,75,3.44,BR,1619113927
314,Tautira,-17.7333,-149.15,78.8,78,20,4.61,PF,1619113927
315,Shediac,46.2198,-64.5411,44.6,70,40,27.63,CA,1619113927
316,Chapais,49.7834,-74.8492,26.6,59,90,13.8,CA,1619113928
317,College,64.8569,-147.8028,43.0,44,1,4.61,US,1619113928
318,Buraidah,26.326,43.975,89.6,17,20,8.05,SA,1619113922
319,Sinnamary,5.3833,-52.95,79.86,87,71,13.24,GF,1619113928
320,Esperance,-33.8667,121.9,53.6,94,100,5.75,AU,1619113928
321,Bilma,18.6853,12.9164,94.44,10,13,6.04,NE,1619113929
322,Tommot,58.9564,126.2925,9.18,97,79,3.22,RU,1619113929
323,Angoche,-16.2325,39.9086,78.24,76,76,9.62,MZ,1619113929
324,Provideniya,64.3833,-173.3,32.67,44,39,6.55,RU,1619113930
325,Nishihara,26.1842,127.7558,71.6,100,90,19.57,JP,1619113930
326,Oddur,4.1213,43.8894,80.24,64,95,10.0,SO,1619113930
327,San Jerónimo,-11.9472,-75.2829,62.83,44,21,4.16,PE,1619113930
328,Qui Nhon,13.7667,109.2333,77.99,90,98,3.62,VN,1619113931
329,Yanji,42.9075,129.5078,45.59,71,100,3.22,CN,1619113931
330,Port Lincoln,-34.7333,135.8667,60.21,72,100,8.99,AU,1619113931
331,Jāmtāra,23.95,86.8,83.64,27,76,4.05,IN,1619113932
332,Chul'man,56.8479,124.9104,6.75,97,52,3.98,RU,1619113932
333,Saint-Louis,16.3333,-15.0,105.8,15,0,9.28,SN,1619113932
334,Mindelo,16.8901,-24.9804,77.0,53,40,28.77,CV,1619113932
335,Hamilton,39.1834,-84.5333,51.01,40,90,13.8,US,1619113933
336,Soe,-9.8607,124.284,63.09,94,37,2.93,ID,1619113933
337,Rengo,-34.4167,-70.8667,62.6,63,75,6.91,CL,1619113917
338,Plettenberg Bay,-34.0527,23.3716,65.82,87,0,10.83,ZA,1619113933
339,Buchanan,5.8808,-10.0467,87.8,70,75,11.5,LR,1619113934
340,Vao,-22.6667,167.4833,73.85,79,49,7.72,NC,1619113934
341,Hualmay,-11.0964,-77.6139,73.11,72,35,9.53,PE,1619113955
342,Port Macquarie,-31.4333,152.9167,46.0,83,0,9.04,AU,1619113956
343,Kirakira,-10.4544,161.9205,79.74,84,94,6.15,SB,1619113956
344,Colonia Carlos Antonio López,-26.4,-54.7667,84.69,29,14,3.76,PY,1619113956
345,Konolfingen,46.8791,7.6201,59.0,47,40,8.05,CH,1619113956
346,Vitória da Conquista,-14.8661,-40.8394,76.42,66,98,2.75,BR,1619113910
347,Hofn,64.2539,-15.2082,39.7,77,78,11.41,IS,1619113957
348,Andenes,69.3143,16.1194,35.6,80,75,8.05,NO,1619113957
349,Korem,12.5058,39.5228,62.56,38,90,4.65,ET,1619113957
350,Ninotsminda,41.2646,43.5916,53.6,58,53,9.22,GE,1619113958
351,Gallup,35.5281,-108.7426,57.2,24,20,23.02,US,1619113958
352,Altamirano,16.8833,-92.15,76.86,41,51,5.32,MX,1619113958
353,Rzhev,56.2624,34.3282,48.33,80,81,8.88,RU,1619113958
354,Bambous Virieux,-20.3428,57.7575,80.01,81,100,1.99,MU,1619113959
355,Mangochi,-14.4782,35.2645,68.95,90,33,7.18,MW,1619113959
356,Kualakapuas,-3.0091,114.3876,75.2,100,52,2.3,ID,1619113959
357,Tigil',57.8,158.6667,31.05,97,100,2.89,RU,1619113960
358,Cabedelo,-6.9811,-34.8339,86.0,70,40,11.5,BR,1619113960
359,Abbeville,50.1,1.8333,53.6,50,0,10.36,FR,1619113855
360,Mabaruma,8.2,-59.7833,87.19,51,76,8.7,GY,1619113960
361,Tateyama,34.9833,139.8667,54.0,64,0,3.0,JP,1619113960
362,Geraldton,-28.7667,114.6,62.6,88,100,5.1,AU,1619113961
363,Rocha,-34.4833,-54.3333,72.77,59,12,10.69,UY,1619113961
364,Fenyi,27.8112,114.6681,68.04,93,54,2.24,CN,1619113961
365,Constitución,-35.3333,-72.4167,61.61,70,84,11.27,CL,1619113962
366,Bethanien,-26.502,17.1583,80.17,21,58,5.82,NA,1619113962
367,Balmullo,56.3769,-2.9294,55.4,58,0,12.66,GB,1619113962
368,Christchurch,-43.5333,172.6333,53.01,93,94,2.3,NZ,1619113963
369,Algiers,36.7525,3.042,62.6,82,75,3.44,DZ,1619113870
370,Imbituba,-28.24,-48.6703,75.2,57,40,6.91,BR,1619113963
371,Smithers,54.7804,-127.1743,42.8,39,20,6.91,CA,1619113963
372,Hūn,29.1268,15.9477,80.37,14,89,21.92,LY,1619113964
373,Noumea,-22.2763,166.4572,77.0,94,90,4.7,NC,1619113807
374,Kondagaon,19.6,81.6667,80.65,31,100,3.42,IN,1619113964
375,Mil'kovo,54.7167,158.6167,28.38,92,62,1.95,RU,1619113964
376,Terney,45.0503,136.6092,41.85,60,46,4.61,RU,1619113964
377,Nizwá,22.9333,57.5333,85.98,14,72,5.84,OM,1619113965
378,Hailey,43.5196,-114.3153,53.01,30,1,10.36,US,1619113965
379,Kudahuvadhoo,2.6708,72.8944,82.94,71,32,11.86,MV,1619113965
380,Babati,-4.2167,35.75,63.34,81,100,3.76,TZ,1619113966
381,Kyabé,9.4515,18.9449,94.01,24,96,3.71,TD,1619113966
382,Codrington,-38.2667,141.9667,54.55,77,75,10.33,AU,1619113966
383,Kuril'sk,45.2333,147.8833,32.36,95,84,10.87,RU,1619113966
384,Nouadhibou,20.931,-17.0347,71.6,64,0,20.71,MR,1619113850
385,Rodrigues Alves,-7.738,-72.6509,87.8,70,75,4.61,BR,1619113967
386,Erzin,36.9559,36.2,64.0,78,0,2.06,TR,1619113967
387,Honningsvåg,70.9821,25.9704,32.0,100,75,5.75,NO,1619113967
388,Porto Nacional,-10.7081,-48.4172,77.0,94,75,13.8,BR,1619113968
389,Tomatlán,19.9333,-105.25,93.13,21,99,7.7,MX,1619113968
390,Kosh-Agach,50.0,88.6667,22.03,59,85,4.21,RU,1619113968
391,Sabla,12.7525,4.7077,98.29,19,53,6.64,NG,1619113968
392,Bouloupari,-21.8667,166.05,69.8,94,90,3.44,NC,1619113969
393,Lüderitz,-26.6481,15.1594,64.13,82,0,9.24,NA,1619113969
394,Watsa,3.0372,29.5355,65.46,98,92,2.28,CD,1619113969
395,Grindavik,63.8424,-22.4338,46.4,87,90,26.46,IS,1619113969
396,Ghanzi,-21.5667,21.7833,65.79,31,25,5.66,BW,1619113970
397,Caluquembe,-13.7833,14.6833,67.64,52,95,0.31,AO,1619113970
398,Nurota,40.5614,65.6886,60.8,33,0,13.8,UZ,1619113755
399,Yugorsk,61.3133,63.3319,47.91,55,98,7.11,RU,1619113970
400,Merauke,-8.4667,140.3333,78.96,86,85,4.32,ID,1619113971
401,Atambua,-9.1061,124.8925,71.11,87,11,4.14,ID,1619113971
402,Santa Rosa,14.3122,121.1114,82.4,78,75,6.91,PH,1619113971
403,Rāmgarh,23.6333,85.5167,78.8,57,40,1.39,IN,1619113971
404,Hot Springs,34.5037,-93.0552,55.99,38,90,4.74,US,1619113811
405,Poya,-21.35,165.15,72.27,91,42,4.07,NC,1619113972
406,Lompoc,34.6391,-120.4579,51.8,76,69,3.44,US,1619113942
407,Teacapan,22.55,-105.75,82.36,40,99,8.34,MX,1619113972
408,Zemio,5.0314,25.1361,80.01,54,66,3.91,CF,1619113972
409,Baiyin,36.5583,104.2081,53.6,66,0,2.24,CN,1619113973
410,La Ronge,55.1001,-105.2842,24.8,63,99,18.41,CA,1619113973
411,Namatanai,-3.6667,152.4333,78.69,82,93,1.14,PG,1619113973
412,Aberdeen,57.1437,-2.0981,50.0,53,50,6.91,GB,1619113711
413,Zinder,13.8072,8.9881,90.3,7,50,3.87,NE,1619113974
414,Kiunga,-6.1219,141.2906,72.72,99,100,2.26,PG,1619113974
415,Cauquenes,-35.9671,-72.3225,63.3,60,95,4.18,CL,1619113974
416,Adeje,28.1227,-16.726,73.4,56,20,13.8,ES,1619113975
417,Bālurghāt,25.2167,88.7667,76.01,60,85,10.07,IN,1619113975
418,Mpika,-11.8343,31.4529,59.27,95,39,4.03,ZM,1619113975
419,Giohar,2.7809,45.5005,81.73,71,100,11.48,SO,1619113975
420,Rawson,-43.3002,-65.1023,59.81,44,92,15.08,AR,1619113854
421,Beihai,21.4833,109.1,77.38,88,0,10.47,CN,1619113976
422,Narón,43.5167,-8.1528,59.0,88,40,10.36,ES,1619113976
423,Madaoua,14.073,5.96,97.05,20,99,2.26,NE,1619113976
424,Murdochville,48.9583,-65.5006,42.8,93,100,10.36,CA,1619113977
425,Riyadh,24.6877,46.7219,91.4,14,0,4.61,SA,1619113807
426,Darhan,49.4867,105.9228,26.49,92,100,10.38,MN,1619113977
427,Vila Franca do Campo,37.7167,-25.4333,60.8,77,75,33.38,PT,1619113977
428,Brae,60.3964,-1.353,46.4,66,40,10.36,GB,1619113978
429,Jumla,29.2747,82.1838,38.64,84,40,5.88,NP,1619113978
430,Oruzgan,32.8333,66.0,62.22,17,0,6.15,AF,1619113978
431,The Pas,53.8251,-101.2541,32.0,69,90,19.57,CA,1619113979
432,Madimba,-10.4,40.3333,78.8,83,20,12.66,TZ,1619113979
433,Almazar,40.3217,69.0106,53.6,71,0,2.24,UZ,1619113979
434,Māchhīwāra,30.9147,76.1983,71.92,46,64,11.63,IN,1619113979
435,Carnarvon,-24.8667,113.6333,71.6,83,75,6.91,AU,1619113980
436,Hīt,33.6416,42.8251,85.73,11,100,16.6,IQ,1619113980
437,Yangi Marg`ilon,40.4272,71.7189,53.6,62,0,4.61,UZ,1619113980
438,Pangnirtung,66.1451,-65.7125,19.4,86,75,4.61,CA,1619113981
439,Aklavik,68.2191,-135.0107,19.4,68,90,4.61,CA,1619113532
440,Ozernovskiy,51.5,156.5167,33.48,91,25,1.14,RU,1619113981
441,Sur,22.5667,59.5289,87.82,33,10,9.24,OM,1619113981
442,Daru,-9.0763,143.2092,78.69,86,99,3.74,PG,1619113591
443,Novoseleznëvo,55.6821,69.2056,38.28,50,21,13.02,RU,1619113982
444,Tuatapere,-46.1333,167.6833,48.0,96,66,3.0,NZ,1619113982
445,Margate,51.3813,1.3862,46.0,60,11,3.0,GB,1619113983
446,Hambantota,6.1241,81.1185,80.51,82,30,13.04,LK,1619113983
447,Ridgecrest,35.6225,-117.6709,73.0,14,1,4.41,US,1619113983
448,La Palma,33.8464,-118.0467,62.01,77,90,3.44,US,1619113984
449,Nerópolis,-16.4064,-49.2186,82.4,34,0,4.61,BR,1619113984
450,Dhidhdhoo,6.8833,73.1,84.07,71,15,8.61,MV,1619113984
451,Cloquet,46.7216,-92.4594,60.01,24,1,9.22,US,1619113985
452,Filoti,37.05,25.5,62.6,59,21,4.61,GR,1619113985
453,Usinsk,65.9939,57.5281,37.89,98,100,20.22,RU,1619113985
454,Deoria,26.5047,83.7872,83.28,23,35,7.25,IN,1619113985
455,Saint-François,46.4154,3.9054,66.2,37,0,6.91,FR,1619113986
456,Ranong,9.9658,98.6348,81.5,81,100,5.99,TH,1619113986
457,Xining,36.6167,101.7667,51.69,70,72,2.3,CN,1619113986
458,Ballina,-28.8667,153.5667,50.0,71,1,4.61,AU,1619113987
459,Nhulunbuy,-12.2333,136.7667,80.6,83,40,10.36,AU,1619113987
460,Dakar,14.6937,-17.4441,73.4,78,0,9.22,SN,1619113708
461,Sananduva,-27.9497,-51.8067,74.12,44,19,4.7,BR,1619113987
462,Rupert,42.6191,-113.6772,55.4,24,1,14.97,US,1619113740
463,Tamandaré,-8.7597,-35.1047,83.62,71,35,9.01,BR,1619113987
464,Laguna de Perlas,12.3429,-83.6712,86.0,70,75,9.22,NI,1619113988
465,Porto Velho,-8.7619,-63.9039,89.6,62,40,3.44,BR,1619113988
466,Cooma,-36.2333,149.1333,28.4,93,0,1.14,AU,1619113988
467,Basco,20.4487,121.9702,78.35,79,19,16.15,PH,1619113534
468,Sabha,27.0377,14.4283,86.16,12,67,12.06,LY,1619113989
469,Guangzhou,23.1167,113.25,87.01,36,33,5.06,CN,1619113722
470,Mossamedes,-15.1961,12.1522,80.24,81,14,6.91,AO,1619113989
471,Vanavara,60.34,102.2797,26.49,89,86,7.81,RU,1619113989
472,Charleston,32.7766,-79.9309,63.0,26,1,8.05,US,1619113847
473,Lázaro Cárdenas,17.9583,-102.2,87.08,29,99,8.01,MX,1619113990
474,Sittwe,20.15,92.9,81.12,80,11,10.04,MM,1619113990
475,Colares,38.7992,-9.4469,64.0,67,20,10.36,PT,1619113990
476,Livingston,55.9029,-3.5226,60.8,36,0,6.91,GB,1619113991
477,Kincardine,56.0667,-3.7167,60.8,36,0,6.91,GB,1619113991
478,Harper,4.375,-7.7169,83.34,76,52,11.25,LR,1619113991
479,Celestún,20.8667,-90.4,86.56,61,7,7.56,MX,1619113992
480,Bereda,43.2686,-7.5406,60.01,80,76,5.01,ES,1619113580
481,Isiolo,0.3546,37.5822,72.34,65,100,9.37,KE,1619113992
482,Rovaniemi,66.5,25.7167,37.4,81,0,11.5,FI,1619113992
483,Seoul,37.5683,126.9778,62.6,48,0,2.3,KR,1619113992
484,Meridian,43.6121,-116.3915,62.01,26,1,6.91,US,1619113993
485,Makubetsu,45.3714,141.8211,33.73,88,18,1.95,JP,1619113993
486,Araouane,18.9048,-3.5265,97.88,8,65,5.14,ML,1619113993
487,San Cristobal,7.7669,-72.225,89.6,51,20,13.8,VE,1619113994
488,Alihe,50.5667,123.7167,40.5,63,98,7.72,CN,1619113994
489,Raja,8.4596,25.678,87.87,33,91,6.44,SS,1619113994
490,Asău,46.4333,26.4,55.0,36,78,6.29,RO,1619113994
491,Erenhot,43.6475,111.9767,56.25,58,14,8.61,CN,1619113995
492,Sindgi,16.9167,76.2333,89.11,37,97,19.6,IN,1619113995
493,Yokadouma,3.5167,15.05,75.13,83,87,2.48,CM,1619113995
494,Köping,59.514,15.9926,41.0,81,90,3.44,SE,1619113996
495,Monticello,45.3055,-93.7941,60.8,26,1,14.38,US,1619113996
496,Korāput,18.8167,82.7167,80.22,50,95,4.23,IN,1619113996
497,Mnogovershinnyy,53.9353,139.9242,33.49,98,100,4.18,RU,1619113996
498,Uinskoye,56.8817,56.5813,38.35,96,100,11.1,RU,1619113997
499,Murgab,37.4966,61.9714,64.4,39,20,4.61,TM,1619113997
500,Orchard Homes,46.8633,-114.0484,50.0,49,90,1.12,US,1619113997
501,Tambun,-6.2641,107.0712,86.0,83,40,5.75,ID,1619113997
502,Sorong,-0.8833,131.25,78.6,88,93,5.97,ID,1619113998
503,Sherpur,25.0188,90.0175,74.14,67,35,4.68,BD,1619113998
504,Matagami,49.7502,-77.6328,32.0,55,75,19.57,CA,1619113998
505,Chake Chake,-5.2459,39.7666,78.73,82,100,10.2,TZ,1619113999
506,Chimoio,-19.1164,33.4833,64.4,100,40,4.61,MZ,1619113999
507,Umluj,25.0213,37.2685,81.48,59,37,5.46,SA,1619113999
508,Shelburne,44.0787,-80.2041,39.99,68,100,18.37,CA,1619113999
509,Paamiut,61.994,-49.6678,35.22,78,94,3.91,GL,1619114000
510,Bonavista,48.6499,-53.1147,59.0,44,84,10.36,CA,1619113737
511,Kaeo,-35.1,173.7833,58.42,87,99,2.33,NZ,1619114000
512,Nelson Bay,-32.7167,152.15,50.0,62,0,16.11,AU,1619114000
513,Acaraú,-2.8856,-40.12,83.57,70,31,9.84,BR,1619114001
514,San Juan,-31.5375,-68.5364,70.32,38,5,6.08,AR,1619113802
515,Urusha,54.05,122.9,21.94,72,100,4.25,RU,1619114001
516,Palauig,15.435,119.9045,79.07,79,99,11.63,PH,1619114001
517,Nazareno,25.3833,-103.4167,84.0,21,75,4.07,MX,1619114002
518,Ginir,7.1333,40.7,59.95,84,99,3.62,ET,1619114002
519,Lat Yao,15.751,99.7893,86.0,82,32,5.88,TH,1619113738
520,Khani,41.9563,42.9566,53.6,87,90,8.05,GE,1619114002
521,Ojinaga,29.5667,-104.4167,66.99,42,1,3.44,MX,1619113762
522,Telimele,10.9167,-13.3333,91.58,31,89,6.26,GN,1619114002
523,Fairbanks,64.8378,-147.7164,45.0,44,1,6.91,US,1619113777
524,Ust-Kuyga,70.0167,135.6,-13.81,99,46,0.96,RU,1619114003
525,Marion,39.7684,-86.1555,50.0,34,75,12.66,US,1619114003
526,Apac,1.9756,32.5386,66.09,97,99,3.56,UG,1619114003
527,Tendūkheda,23.4,79.55,85.51,15,93,2.08,IN,1619114004
528,Belyy Yar,53.6039,91.3903,30.2,51,0,8.95,RU,1619114004
529,Agirish,61.9247,63.0231,47.89,51,98,8.97,RU,1619114004
530,Swan River,52.1058,-101.2676,49.87,60,55,19.66,CA,1619114005
531,Benalla,-36.55,145.9833,48.2,93,90,1.9,AU,1619114005
532,Brisbane,-27.4679,153.0281,57.99,62,0,5.75,AU,1619114005
533,Esim,4.8699,-2.2405,83.57,78,65,10.54,GH,1619114005
534,Anadyr,64.75,177.4833,6.8,92,96,8.95,RU,1619114006
535,Aykhal,66.0,111.5,23.49,94,100,25.01,RU,1619113741
536,Lakes Entrance,-37.8811,147.981,55.0,73,91,12.12,AU,1619114006
537,Douentza,14.9951,-2.9517,103.28,8,95,6.04,ML,1619114006
538,Tarko-Sale,64.9225,77.785,30.0,79,84,1.99,RU,1619114007
539,Plainview,40.7765,-73.4673,48.0,31,40,20.71,US,1619114007
540,Paciran,-6.8767,112.3761,77.47,77,73,3.74,ID,1619113813
541,Tual,-5.6667,132.75,83.8,72,85,9.66,ID,1619114007
542,Challans,46.8436,-1.8749,68.0,42,0,16.11,FR,1619114008
543,Auki,-8.7676,160.7034,77.18,85,97,4.18,SB,1619114008
544,Marystown,47.1666,-55.1483,42.6,96,100,24.25,CA,1619114008
